Timestamp,Logo,Website Address,,Source Name,Datasets_Available,Short Site Description,Category(s)- all that apply,Keywords (optional),Link to Data Use Agreement,Link to Dataset Source Page,Type of Datasets,Geography,Time,Price,Formats,General Category,Sub Category,Logo Link,Other - add any notes,Form Filler
6/2/2024 21:54:33,https://drive.google.com/open?id=1t9vS9PUXCxWH6WJRuCTa2oQdqeSkZbA9,https://drive.google.com/open?id=1t9vS9PUXCxWH6WJRuCTa2oQdqeSkZbA9,,Data.Gov,"295,072","The Home of the U.S. Government's Open Data. Here you will find data, tools, and resources to conduct research, develop web and mobile applications, design data visualizations, and more.","Consumer, Environmental, Food Supply, Public Data, Weather, Climate, Energy, Transportation, University, Government - State, Census Data, Government - city/county, Ocean - coastline","

earth science, oceans, state fips code, county fips code, Noaa, continent, latitude, longitude, time, water, seafloor topography, depth, water depth, oceanography, table, ships, seam currents, seawater, water temperature, velocity, acoustics, from house number, side indicator flag, temperature, marine sediment.United States,",https://opendatacommons.org/licenses/odbl/1-0/,https://catalog.data.gov/dataset?q=,Fixed (typical),North America,Both - most common,Free,"API, CSV, HML, PDF, JSON, RDF, Text, XML",,,,,
6/3/2024 11:50:46,https://drive.google.com/open?id=1p8iJb3DEDWL3QejZVpZCn445b7gCEZe3,https://www.cruxdata.com/,,Crux,0,Crux is a cloud-based data integration and operations platform that lets you unlock more value from external data faster.,Financial,,,https://www.cruxdata.com/data-source,Unknown,,,Subscription,,,financial,https://info.cruxdata.com/hs-fs/hubfs/crux-logo-200x53.png?width=400&height=106&name=crux-logo-200x53.png,,
6/3/2024 12:19:12,https://drive.google.com/open?id=1YcJwLWnsdVAX5F1RvOO_PKPtSnxX1YMH,https://magid.com/,,Magid,1000,"We specialize in uncovering and harnessing underlying human truths, intently focused on solving our clients' most complex problems.","Consumer, Media and Entertainment, Retail and CPG, Transportation",service provider,,,"Subscription Service, Custom Built",Global,Both - most common,Subscription,,Service Provider,,https://magid.com/wp-content/uploads/2017/03/logo.svg,"service provider, does research",
6/3/2024 12:44:12,https://drive.google.com/open?id=1sEw1ph-BddV6qmCj5xVeJCszSPoQhXmt,https://data.gov/,,Data.gov,"295,072","The Home of the U.S. Government's Open Data. Here you will find data, tools, and resources to conduct research, develop web and mobile applications, design data visualizations, and more.","Advertising, Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, Intellectual Property, IoT, Legal, Life Science, Manufacturing, Media and Entertainment, News, Ocean - coastline, Private Business, Public Data, Pubic Sector, Retail and CPG, Social Media, Technology, Water, Weather, Transportation, University","earth science, oceans, u.s. department of commerce, nesdis, data, noaa, time.",https://opendatacommons.org/licenses/odbl/1-0/,https://catalog.data.gov/dataset,Fixed (typical),"North America, United States",Both - most common,Free,"API, CSV, HML, PDF, JSON, RDF, Text, XML, TIFF, ZIP, HTML, SID, WMS, Esri REST.","Climate, Consumer, Entertainment, Financial, Government, Health, Research, Service Provider, University",United States,https://data.gov/,,
6/3/2024 13:05:09,https://drive.google.com/open?id=1pjwLvoou9-FNyHxMxZIpgGmlZBTnd4Go,https://www.cruxdata.com/,,"MSCI, Inc",1000,Crux is a cloud-based data integration and operations platform that lets you unlock more value from external data faster.,Financial,,,,"Subscription Service, Custom Built",Global,Both - most common,Subscription,,Service Provider,financial,https://cruxdata.com/hubfs/Crux%20Logo%20-%20Grunmetal%20Red.svg,,
6/3/2024 13:27:27,https://drive.google.com/open?id=1R3DfmXTEChdRfDe_kTUA2snF7UikjBZo,https://www150.statcan.gc.ca/n1/en/type/data,,Statistics Canada,"12,012","Statistics Canada is the national statistical office. The agency ensures Canadians have the key information on Canada's economy, society and environment that they require to function effectively as citizens and decision makers.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, Intellectual Property, IoT, Legal, Life Science, Manufacturing, Media and Entertainment, News, Ocean - coastline, Private Business, Public Data, Pubic Sector, Social Media, Technology, Water, Weather, Transportation, University",,https://www.statcan.gc.ca/en/about/accountability/receiving/obligation-duties#a1,https://www150.statcan.gc.ca/n1/en/type/data?MM=1,Fixed (typical),"North America, Canada",Both - most common,Free,"CSV, Text","Climate, Consumer, Entertainment, Financial, Government, Health, Research, University",Canada,https://www150.statcan.gc.ca/n1/en/type/data,,
6/3/2024 13:28:58,https://drive.google.com/open?id=1mk3iFLv__1rcPcHn1SGF4pT8HlXpyqgV,https://www.ark-data.co.uk/,,The Ark,1000,"Secure, privacy-controlled data collaboration. Connect your customer data to any UK 3rd party dataset, without sharing your PII or sensitive data. Access reliable, GDPR compliant data in a secure, privacy-controlled Data Clean Room.",Retail and CPG,,https://www.ark-data.co.uk/compliance/,,Custom Built,United Kingdom,Both - most common,,,Service Provider,"demographics, identity, marketing",https://www.ark-data.co.uk/wp-content/uploads/2022/04/new-ark-logo.png,Probably a service provider that gives information on various household information in the United Kingdom,
6/3/2024 13:52:19,https://drive.google.com/open?id=1OXUbf6EucF_xXxLivPb805CEdfAM0Xhq,https://www.piano.io/,,Piano,1000,"Piano gives you the power to harness real-time accurate data to provide personalized
customer experiences at scale. Add in our expert-led services, and you're on your way to orchestrating, measuring and optimizing the entire customer journey.
All within a single, beautiful platform.","Media and Entertainment, Private Business",,,,"Subscription Service, Custom Built",Global,Both - most common,,,Service Provider,media,,Service provider dealing with customer understanding,
6/3/2024 13:58:29,https://drive.google.com/open?id=10mfsw2MWZXpAxG_zk3u9OZhP_0dnOFRN,https://www.data.gov.uk/,,Data.gov.uk,"30,000","Since 2010 data.gov.uk has been helping people to find and use open government data, and supporting government publishers to maintain data. In March 2018, we re-designed the site and launched the Find open data service.","Advertising, Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, Intellectual Property, Legal, Life Science, Manufacturing, Media and Entertainment, News, Ocean - coastline, Private Business, Public Data, Pubic Sector, Retail and CPG, Social Media, Technology, Water, Weather, Transportation, University","Business, Crime and justice, Defence, Education, Environment, Government, Health, Mapping, Society, Transport, City, Digital service.",https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://www.data.gov.uk/,Fixed (typical),United Kingdom,Both - most common,Free,"CSV, PDF, XLSX, HTML, ODS, SQLITE, WEBPAGE, XLS","Climate, Consumer, Entertainment, Financial, Government, Health, Research, Service Provider, University",United Kingdom,https://www.gov.uk/help,,
6/3/2024 14:39:19,https://drive.google.com/open?id=1hbDdkk9dLM5hG75_hC60wSxv1Kcd1Nsn,https://www.destatis.de/EN/Home/_node.html,,Genesis Online,"8,000","The Federal Statistical Office is the institution to contact first for official data on the society, the economy, the environment and the state. We provide objective statistics that have been compiled in a neutral and professionally independent manner. Those figures are the basis of democratic fact-based decision-making processes. Our data reflect not only what is going on now but also supply information on societal and economic trends.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, Intellectual Property, IoT, Life Science, Manufacturing, Media and Entertainment, News, Private Business, Public Data, Pubic Sector, Retail and CPG, Social Media, Technology, Water, Weather, Transportation, University","Society and environment, Economy, Enterprises, Labour, Government, Countries.",https://www.govdata.de/dl-de/by-2-0,https://www-genesis.destatis.de/genesis/online/data?operation=sprachwechsel&language=en,Fixed (typical),"Europe, Germany",Both - most common,Free,"API, CSV","Climate, Consumer, Entertainment, Financial, Government, Health, Research, Service Provider, University",Germany,https://www.destatis.de/EN/Home/_node.html,,
